product_type,plan_name,gender,smoker_status,entry_age,policy_term_years,sum_assured_inr,annual_premium_inr,monthly_premium_inr,premium_per_1000_sa,loading_class,extra_loading_pct,final_annual_premium_inr,notes
Term Life,VitaShield Term,Male,Non-Smoker,18,30,10000000,14600,1581,1.46,Class I,25,18250,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,10,25000000,30000,2600,1.2,Standard,0,30000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,15,25000000,30000,2600,1.2,Standard,0,30000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,20,25000000,32500,3520,1.3,Class I,25,40625,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,25,25000000,34500,2990,1.38,Standard,0,34500,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,30,25000000,36500,3163,1.46,Standard,0,36500,Non-smoker rates
Term Life,VitaShield Term,Male,Smoker,18,10,500000,870,94,1.74,Class I,25,1087,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,15,500000,870,75,1.74,Standard,0,870,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,20,500000,940,101,1.88,Class I,25,1175,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,25,500000,1000,108,2.0,Class I,25,1250,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,30,500000,1060,114,2.12,Class I,25,1325,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,10,1000000,1740,150,1.74,Standard,0,1740,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,15,1000000,1740,188,1.74,Class I,25,2175,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,20,1000000,1880,162,1.88,Standard,0,1880,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,25,1000000,2000,216,2.0,Class I,25,2500,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,30,1000000,2120,183,2.12,Standard,0,2120,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,10,2500000,4350,471,1.74,Class I,25,5437,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,15,2500000,4350,471,1.74,Class I,25,5437,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,20,2500000,4700,407,1.88,Standard,0,4700,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,25,2500000,5000,433,2.0,Standard,0,5000,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,30,2500000,5300,459,2.12,Standard,0,5300,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,10,5000000,8700,754,1.74,Standard,0,8700,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,15,5000000,8700,942,1.74,Class I,25,10875,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,20,5000000,9400,814,1.88,Standard,0,9400,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,25,5000000,10000,866,2.0,Standard,0,10000,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,30,5000000,10600,918,2.12,Standard,0,10600,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,10,10000000,17400,1885,1.74,Class I,25,21750,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,15,10000000,17400,1885,1.74,Class I,25,21750,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,20,10000000,18800,2036,1.88,Class I,25,23500,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,25,10000000,20000,2166,2.0,Class I,25,25000,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,30,10000000,21200,1837,2.12,Standard,0,21200,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,10,25000000,43500,4712,1.74,Class I,25,54375,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,15,25000000,43500,4712,1.74,Class I,25,54375,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,20,25000000,47000,4073,1.88,Standard,0,47000,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,25,25000000,50000,5416,2.0,Class I,25,62500,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,18,30,25000000,53000,4593,2.12,Standard,0,53000,Smoker loading applied
Term Life,VitaShield Term,Female,Non-Smoker,18,10,500000,550,47,1.1,Standard,0,550,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,15,500000,550,47,1.1,Standard,0,550,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,20,500000,595,51,1.19,Standard,0,595,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,25,500000,635,68,1.27,Class I,25,793,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,30,500000,675,73,1.35,Class I,25,843,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,10,1000000,1100,119,1.1,Class I,25,1375,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,15,1000000,1100,95,1.1,Standard,0,1100,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,20,1000000,1190,128,1.19,Class I,25,1487,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,25,1000000,1270,110,1.27,Standard,0,1270,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,30,1000000,1350,117,1.35,Standard,0,1350,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,10,2500000,2750,238,1.1,Standard,0,2750,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,15,2500000,2750,297,1.1,Class I,25,3437,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,20,2500000,2975,322,1.19,Class I,25,3718,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,25,2500000,3175,343,1.27,Class I,25,3968,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,30,2500000,3375,292,1.35,Standard,0,3375,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,10,5000000,5500,476,1.1,Standard,0,5500,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,15,5000000,5500,595,1.1,Class I,25,6875,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,20,5000000,5950,515,1.19,Standard,0,5950,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,25,5000000,6350,687,1.27,Class I,25,7937,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,30,5000000,6750,731,1.35,Class I,25,8437,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,10,10000000,11000,1191,1.1,Class I,25,13750,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,15,10000000,11000,953,1.1,Standard,0,11000,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,20,10000000,11900,1289,1.19,Class I,25,14875,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,25,10000000,12700,1100,1.27,Standard,0,12700,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,30,10000000,13500,1170,1.35,Standard,0,13500,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,10,25000000,27500,2979,1.1,Class I,25,34375,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,15,25000000,27500,2979,1.1,Class I,25,34375,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,20,25000000,29750,3222,1.19,Class I,25,37187,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,25,25000000,31750,3439,1.27,Class I,25,39687,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,18,30,25000000,33750,2925,1.35,Standard,0,33750,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Smoker,18,10,500000,800,69,1.6,Standard,0,800,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,15,500000,800,86,1.6,Class I,25,1000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,20,500000,865,74,1.73,Standard,0,865,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,25,500000,920,79,1.84,Standard,0,920,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,30,500000,975,84,1.95,Standard,0,975,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,10,1000000,1600,138,1.6,Standard,0,1600,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,15,1000000,1600,138,1.6,Standard,0,1600,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,20,1000000,1730,187,1.73,Class I,25,2162,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,25,1000000,1840,159,1.84,Standard,0,1840,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,30,1000000,1950,211,1.95,Class I,25,2437,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,10,2500000,4000,433,1.6,Class I,25,5000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,15,2500000,4000,433,1.6,Class I,25,5000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,20,2500000,4325,468,1.73,Class I,25,5406,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,25,2500000,4600,398,1.84,Standard,0,4600,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,30,2500000,4875,422,1.95,Standard,0,4875,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,10,5000000,8000,866,1.6,Class I,25,10000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,15,5000000,8000,866,1.6,Class I,25,10000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,20,5000000,8650,749,1.73,Standard,0,8650,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,25,5000000,9200,996,1.84,Class I,25,11500,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,30,5000000,9750,1056,1.95,Class I,25,12187,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,10,10000000,16000,1386,1.6,Standard,0,16000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,15,10000000,16000,1733,1.6,Class I,25,20000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,20,10000000,17300,1499,1.73,Standard,0,17300,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,25,10000000,18400,1993,1.84,Class I,25,23000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,30,10000000,19500,1690,1.95,Standard,0,19500,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,10,25000000,40000,3466,1.6,Standard,0,40000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,15,25000000,40000,4333,1.6,Class I,25,50000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,20,25000000,43250,3748,1.73,Standard,0,43250,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,25,25000000,46000,3986,1.84,Standard,0,46000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,18,30,25000000,48750,5281,1.95,Class I,25,60937,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Male,Non-Smoker,21,10,500000,600,52,1.2,Standard,0,600,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,15,500000,600,52,1.2,Standard,0,600,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,20,500000,650,70,1.3,Class I,25,812,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,25,500000,690,74,1.38,Class I,25,862,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,30,500000,730,63,1.46,Standard,0,730,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,10,1000000,1200,104,1.2,Standard,0,1200,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,15,1000000,1200,130,1.2,Class I,25,1500,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,20,1000000,1300,140,1.3,Class I,25,1625,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,25,1000000,1380,119,1.38,Standard,0,1380,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,30,1000000,1460,126,1.46,Standard,0,1460,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,10,2500000,3000,260,1.2,Standard,0,3000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,15,2500000,3000,260,1.2,Standard,0,3000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,20,2500000,3250,281,1.3,Standard,0,3250,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,25,2500000,3449,373,1.38,Class I,25,4311,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,30,2500000,3650,316,1.46,Standard,0,3650,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,10,5000000,6000,520,1.2,Standard,0,6000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,15,5000000,6000,520,1.2,Standard,0,6000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,20,5000000,6500,704,1.3,Class I,25,8125,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,25,5000000,6899,597,1.38,Standard,0,6899,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,30,5000000,7300,790,1.46,Class I,25,9125,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,10,10000000,12000,1300,1.2,Class I,25,15000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,15,10000000,12000,1040,1.2,Standard,0,12000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,20,10000000,13000,1126,1.3,Standard,0,13000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,25,10000000,13799,1494,1.38,Class I,25,17248,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,30,10000000,14600,1581,1.46,Class I,25,18250,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,10,25000000,30000,3250,1.2,Class I,25,37500,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,15,25000000,30000,3250,1.2,Class I,25,37500,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,20,25000000,32500,3520,1.3,Class I,25,40625,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,25,25000000,34500,2990,1.38,Standard,0,34500,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,21,30,25000000,36500,3163,1.46,Standard,0,36500,Non-smoker rates
Term Life,VitaShield Term,Male,Smoker,21,10,500000,870,75,1.74,Standard,0,870,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,15,500000,870,75,1.74,Standard,0,870,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,20,500000,940,101,1.88,Class I,25,1175,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,25,500000,1000,86,2.0,Standard,0,1000,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,30,500000,1060,91,2.12,Standard,0,1060,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,10,1000000,1740,150,1.74,Standard,0,1740,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,15,1000000,1740,150,1.74,Standard,0,1740,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,20,1000000,1880,162,1.88,Standard,0,1880,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,25,1000000,2000,173,2.0,Standard,0,2000,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,30,1000000,2120,183,2.12,Standard,0,2120,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,10,2500000,4350,377,1.74,Standard,0,4350,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,15,2500000,4350,377,1.74,Standard,0,4350,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,20,2500000,4700,509,1.88,Class I,25,5875,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,25,2500000,5000,433,2.0,Standard,0,5000,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,30,2500000,5300,459,2.12,Standard,0,5300,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,10,5000000,8700,942,1.74,Class I,25,10875,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,15,5000000,8700,942,1.74,Class I,25,10875,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,20,5000000,9400,814,1.88,Standard,0,9400,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,25,5000000,10000,866,2.0,Standard,0,10000,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,30,5000000,10600,1148,2.12,Class I,25,13250,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,10,10000000,17400,1508,1.74,Standard,0,17400,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,15,10000000,17400,1885,1.74,Class I,25,21750,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,20,10000000,18800,2036,1.88,Class I,25,23500,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,25,10000000,20000,1733,2.0,Standard,0,20000,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,30,10000000,21200,1837,2.12,Standard,0,21200,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,10,25000000,43500,3770,1.74,Standard,0,43500,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,15,25000000,43500,4712,1.74,Class I,25,54375,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,20,25000000,47000,5091,1.88,Class I,25,58750,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,25,25000000,50000,5416,2.0,Class I,25,62500,Smoker loading applied
Term Life,VitaShield Term,Male,Smoker,21,30,25000000,53000,5741,2.12,Class I,25,66250,Smoker loading applied
Term Life,VitaShield Term,Female,Non-Smoker,21,10,500000,550,59,1.1,Class I,25,687,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,15,500000,550,47,1.1,Standard,0,550,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,20,500000,595,51,1.19,Standard,0,595,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,25,500000,635,55,1.27,Standard,0,635,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,30,500000,675,73,1.35,Class I,25,843,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,10,1000000,1100,119,1.1,Class I,25,1375,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,15,1000000,1100,95,1.1,Standard,0,1100,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,20,1000000,1190,103,1.19,Standard,0,1190,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,25,1000000,1270,110,1.27,Standard,0,1270,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,30,1000000,1350,117,1.35,Standard,0,1350,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,10,2500000,2750,297,1.1,Class I,25,3437,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,15,2500000,2750,238,1.1,Standard,0,2750,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,20,2500000,2975,322,1.19,Class I,25,3718,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,25,2500000,3175,275,1.27,Standard,0,3175,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,30,2500000,3375,365,1.35,Class I,25,4218,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,10,5000000,5500,595,1.1,Class I,25,6875,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,15,5000000,5500,476,1.1,Standard,0,5500,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,20,5000000,5950,515,1.19,Standard,0,5950,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,25,5000000,6350,687,1.27,Class I,25,7937,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,30,5000000,6750,585,1.35,Standard,0,6750,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,10,10000000,11000,953,1.1,Standard,0,11000,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,15,10000000,11000,953,1.1,Standard,0,11000,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,20,10000000,11900,1031,1.19,Standard,0,11900,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,25,10000000,12700,1100,1.27,Standard,0,12700,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,30,10000000,13500,1170,1.35,Standard,0,13500,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,10,25000000,27500,2979,1.1,Class I,25,34375,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,15,25000000,27500,2979,1.1,Class I,25,34375,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,20,25000000,29750,3222,1.19,Class I,25,37187,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,25,25000000,31750,2751,1.27,Standard,0,31750,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Non-Smoker,21,30,25000000,33750,3656,1.35,Class I,25,42187,Female discount applied; Non-smoker rates
Term Life,VitaShield Term,Female,Smoker,21,10,500000,800,69,1.6,Standard,0,800,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,15,500000,800,69,1.6,Standard,0,800,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,20,500000,865,93,1.73,Class I,25,1081,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,25,500000,920,79,1.84,Standard,0,920,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,30,500000,975,105,1.95,Class I,25,1218,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,10,1000000,1600,173,1.6,Class I,25,2000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,15,1000000,1600,173,1.6,Class I,25,2000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,20,1000000,1730,187,1.73,Class I,25,2162,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,25,1000000,1840,199,1.84,Class I,25,2300,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,30,1000000,1950,211,1.95,Class I,25,2437,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,10,2500000,4000,346,1.6,Standard,0,4000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,15,2500000,4000,346,1.6,Standard,0,4000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,20,2500000,4325,468,1.73,Class I,25,5406,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,25,2500000,4600,398,1.84,Standard,0,4600,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,30,2500000,4875,422,1.95,Standard,0,4875,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,10,5000000,8000,693,1.6,Standard,0,8000,Female discount applied; Smoker loading applied
Term Life,VitaShield Term,Female,Smoker,21,15,5000000,8000,866,1.6,Class I,25,10000,Female discount applied; Smoker loading applied
